ISBN,avg_rating,rating_count,Book-Title,Book-Author,Year-Of-Publication,popularity_score
349922710X,4.0,1,Die Prozedur.,Harry Mulisch,2000.0,4.0
3499228270,6.0,1,Feuer in Berlin. Ein Fall fÃ?Â¼r Bernhard Gunther.,Philip Kerr,2000.0,6.0
3499228548,9.0,1,Sehr blaue Augen.,Toni Morrison,2000.0,9.0
3499228653,9.0,1,Das Bild der alten Dame.,Petra Oelker,2001.0,9.0
3499230879,7.0,1,Vergangenes und GegenwÃ?Â¤rtiges. Erinnerungen.,Monika Mann,2001.0,7.0
3499231689,8.0,1,Belas Sunden,Petra Hammesfahr,2003.0,8.0
3499232634,7.0,1,Herzort.,Steinunn Sigurdardottir,2003.0,7.0
3499232871,4.5,2,Herzsprung,Ildiko Kurthy,2003.0,9.0
3499233002,5.0,1,In guten wie in schlechten Tagen.,Carole Matthews,2003.0,5.0
3499233347,8.0,1,HÃ?Â¶chste Zeit. Roman.,Harry Mulisch,2002.0,8.0
3499262967,4.0,1,Die Teebarone.,Hella S. Haasse,2001.0,4.0
3499431009,8.0,1,Finstere GrÃ?Â¼nde.,Colin Dexter,1993.0,8.0
3499433265,4.0,3,DTV: Amoklauf Im Audimax,Schwanitz,0.0,12.0
349960728X,9.0,1,Stimmts? Moderne Legenden im Test.,Christoph DrÃ?Â¶sser,1998.0,9.0
3499609339,9.0,1,Stimmts? Noch mehr moderne Legenden im Test.,Christoph DrÃ?Â¶sser,2000.0,9.0
3499613425,8.0,1,Der kleine Beziehungsberater.,Till Raether,2002.0,8.0
3499613638,7.0,1,"Ein Blick zurÃ?Â¼ck, ein Schritt nach vorn.",Gregor Gysi,2002.0,7.0
3502517959,6.333333333333333,3,Die Spinne und das MÃ?Â¤dchen.,Sophie Schallingher,2001.0,19.0
3512003931,3.0,1,Deutschland Deine Zukunft,Franz Josef Strauss,1975.0,3.0
3518100122,10.0,1,"Edition Suhrkamp, Nr.12, Tractatus logico-philosophicus",Ludwig Wittgenstein,1963.0,10.0
3518100319,9.0,1,Der Kaukasische Kreidekreis,Bertolt Brecht,1998.0,9.0
3518100734,7.0,3,Der Gute Mensch Von Sezuan,Bertolt Brecht,0.0,21.0
3518115243,9.0,1,Finnegans Wake. Gesammelte AnnÃ?Â¤herungen.,James Joyce,2001.0,9.0
351818802X,8.333333333333334,3,"Suhrkamp BasisBibliothek (SBB), Nr.2, Siddhartha",Hermann Hesse,1998.0,25.0
351828875X,10.0,1,Das Gehirn und seine Wirklichkeit.,Gerhard Roth,2000.0,10.0
3518365010,5.0,1,"Suhrkamp TaschenbÃ?Â¼cher, Nr.1, Warten auf Godot",Samuel Beckett,1971.0,5.0
351836605X,7.5,2,Stiller,Max Frisch,1954.0,15.0
3518366467,6.0,1,Wunschloses UnglÃ?Â¼ck.,Peter Handke,1974.0,6.0
3518366823,8.0,3,Siddhartha,Hermann Hesse,0.0,24.0
3518367064,8.333333333333334,3,Demian. Die Geschichte von Emil Sinclairs Jugend.,Hermann Hesse,1974.0,25.0
3518368001,4.6,5,Neue Leiden Des Jungen,Plenzdorf,0.0,23.0
3518368540,9.25,8,Homo Faber,Max Frisch,0.0,74.0
3518371703,10.0,1,Picknick am Wegesrand: Utopische  ErzÃ¤hlung (Suhrkamp Taschenbuch),Arkadii Natanovich Strugatskii,1981.0,10.0
3518372408,7.0,2,Terminus und andere Geschichten vom Piloten Pirx.,Stanislaw Lem,1996.0,14.0
3518373080,9.0,1,Die verlorenen Spuren. Roman.,Alejo Carpentier,1982.0,9.0
3518374508,6.0,1,Das Drama des begabten Kindes und die Suche nach dem wahren Selbst.,Alice Miller,1983.0,6.0
3518374559,9.0,1,Eine Minute der Menschheit.,Stanislaw Lem,1983.0,9.0
3518383973,8.5,2,Eva Luna.,Isabel Allende,2003.0,17.0
3518389009,7.0,1,Liebesgeschichten.,Hermann Hesse,1995.0,7.0
3518390473,4.0,2,Der Wettermacher.,Peter Weber,1999.0,8.0
3518392387,3.0,1,Wilde Schafsjagd.,Haruki Murakami,1997.0,3.0
3518398873,8.0,1,Nootebooms Hotel.,Cees Nooteboom,2002.0,8.0
3520377020,10.0,1,Discorsi. Gedanken Ã?Â¼ber Politik und StaatsfÃ?Â¼hrung.,Niccolo Machiavelli,1977.0,10.0
3530267147,5.0,1,Die GÃ?Â¶tter der Erde.,Khalil Gibran,1993.0,5.0
3546002474,6.666666666666667,3,In alle Ewigkeit.,Ake Edwardson,2002.0,20.0
3548208975,6.25,4,Die MÃ?Â¶we Jonathan.,Richard Bach,1972.0,25.0
3548243746,3.0,1,Kelim Connection.,JÃ?Â¼rgen Ebertowski,1998.0,3.0
3548245897,9.0,1,Hin und weg.,Ethan Hawke,1999.0,9.0
3548250173,8.0,1,Der Augenblick der Wahrheit.,Leif Davidsen,2001.0,8.0
3548252192,8.0,1,Der Schneefalke.,Stuart Harrison,2001.0,8.0
3548252443,7.0,2,Chocolat. Das Buch zum Film.,Joanne Harris,2001.0,14.0
3548253652,5.0,1,SchÃ?Â¶ner Schein trÃ?Â¼gt.,Jan Mehlum,2002.0,5.0
3548254152,8.5,2,Duddits ' Dreamcatcher'.,Stephen King,2002.0,17.0
3548254268,10.0,1,Eine ganz normale AffÃ?Â¤re.,Joanna Trollope,2002.0,10.0
3548256007,8.0,1,Die ZuckerbÃ?Â¤ckerin.,Petra Durst-Benning,2003.0,8.0
354825621X,8.0,1,Chocolat. Das Buch zum Film.,Joanne Harris,2003.0,8.0
3548256910,6.0,2,Die Amerikanerin.,Petra Durst-Benning,2003.0,12.0
3548257615,10.0,1,Die GlasblÃ?Â¤serin.,Petra Durst-Benning,2002.0,10.0
3548257623,4.0,1,Die ZuckerbÃ?Â¤ckerin.,Petra Durst-Benning,2002.0,4.0
3548265383,8.0,1,Vom Kriege. UngekÃ?Â¼rzter Text.,Carl von Clausewitz,1998.0,8.0
3548332374,8.0,1,Checkpoint Charlie and the Wall a Divided,Werner Sikorski,0.0,8.0
3548359698,5.571428571428571,7,Warum MÃ?Â¤nner nicht zuhÃ?Â¶ren und Frauen schlecht einparken.,Allan Pease,2000.0,39.0
354835985X,10.0,1,Erste Person Plural. Die Geschichte meiner vielen PersÃ?Â¶nlichkeiten.,Cameron West,2000.0,10.0
3548364160,7.0,1,Die weiÃ?Â?e Hexe. Meine Abenteuer in Afrika.,Ilona Maria Hilliges,2003.0,7.0
354860062X,8.0,1,FrÃ?Â¼h am Morgen beginnt die Nacht.,Wally Lamb,2001.0,8.0
3548600867,9.0,1,Die TotenwÃ?Â¤scherin.,Helga Hegewisch,2001.0,9.0
3548602746,5.0,1,Die Seekarte.,Arturo Perez-Reverte,2003.0,5.0
3548603203,7.2,5,Artemis Fowl.,Eoin Colfer,2003.0,36.0
3548680291,8.0,1,Yeats ist tot! 15 Autoren schreiben einen sehr irischen Roman.,Marian Keyes,2001.0,8.0
3551580561,10.0,1,Fanny und Pepsi. ( Ab 12 J.).,Corinna Belz,2000.0,10.0
3551745315,4.0,1,"Bastard!!, Bd.1, Angriff auf Metallicana",Kazushi Hagiwara,2000.0,4.0
3551749612,6.0,1,"Angelic Layer, Battle.1, Das ist das Ei, in dem die TrÃ?Â¤ume ruhen",Clamp,2001.0,6.0
3551749620,6.0,1,"Angelic Layer, Battle.2, Gemeinsam mit Hikaru schaff ich es!",CLAMP,2001.0,6.0
3551751846,4.0,1,"Angel Sanctuary, Bd.4",Kaori Yuki,2001.0,4.0
3570205932,6.0,1,GÃ?Â¤nsehaut 32. Mein unsichtbarer Freund.,R. L. Stine,1999.0,6.0
3570300099,6.0,1,"Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).",Sue Townsend,2002.0,6.0
3596113318,6.0,1,Orlando. Eine Biographie.,Virginia Woolf,1992.0,6.0
3596113350,8.0,1,Die Mambo Kings spielen Songs der Liebe. Roman.,Oscar Hijuelos,1992.0,8.0
3596121477,7.0,2,Die sieben DÃ?Â¤monen.,Barbara Wood,1995.0,14.0
3596122279,5.428571428571429,7,Das Superwieb,Hera Lind,2002.0,38.0
3596124166,3.0,1,Flush. Eine Biographie.,Virginia Woolf,1994.0,3.0
3596124433,9.0,1,Der ProceÃ?Â?. In der Fassung der Handschrift.,Franz Kafka,1999.0,9.0
3596129052,5.0,1,Briefe Einer Verhinderten Emanze,Claudia Keller,1992.0,5.0
3596129389,5.5,2,Die Zauberfrau.,Hera Lind,1995.0,11.0
3596129397,7.0,1,Mit fÃ¼nfzig kÃ¼ssen MÃ¤nner anders: Roman (Die Frau in der Gesellschaft),Dorit Zinn,1995.0,7.0
3596130417,5.0,2,Schiffsmeldungen / The Shipping News,Annie Proulx,2002.0,10.0
3596132762,7.0,1,Ein Mann fÃ¼r eine Nacht: Roman (Die Frau in der Gesellschaft),Jil Karoly,1996.0,7.0
3596133319,6.666666666666667,3,Helden wie wir.,Thomas Brussig,1998.0,20.0
3596137225,9.0,1,Verwandlungen / Transformations.,Anne Sexton,1999.0,9.0
3596143500,4.5,2,Mannomann.,Jil Karoly,1998.0,9.0
3596144434,4.5,2,Der gemietete Mann.,Hera Lind,1999.0,9.0
3596144868,6.5,2,Hannas Tochter,Mariann Fredriksson,0.0,13.0
3596148030,9.0,1,"Hallo Mister Gott, hier spricht Anna.",Fynn,2000.0,9.0
3596154766,2.0,1,Silberfaden.,Ricarda Junge,2002.0,2.0
3596156963,5.0,2,Anleitung zum Unschuldigsein. Das Ã?Â?bungsbuch fÃ?Â¼r ein schlechtes Gewissen.,Florian Illies,2002.0,10.0
3596200261,10.0,3,"Fischer TaschenbÃ?Â¼cher, Bd.26, SchÃ?Â¶ne neue Welt",Aldous Huxley,2002.0,30.0
3596214572,6.5,2,Die Lehren des Don Juan. Ein Yaqui- Weg des Wissens.,Carlos Castaneda,1998.0,13.0
3596214629,7.666666666666667,6,"Herr Der Fliegen (Fiction, Poetry and Drama)",Golding,0.0,46.0
3596215226,7.625,8,Schachnovelle,Stefan Zweig,0.0,61.0
3596224284,7.666666666666667,3,Dear Doosie.,Werner Lansburgh,1977.0,23.0
3596235316,5.0,1,"Sucht ohne Drogen: Arbeiten, Spielen, Essen, Lieben (Fischer Sachbuch)",Werner Gross,1990.0,5.0
3596237874,5.0,3,Beim Naechsten Mann Wird Alles (Frau in Der Gesellschaft),Eva Heller,1997.0,15.0
3596259924,7.125,8,Die Unertragliche Leichtigkeit des Seins...The Unbearable Lightness of Being,Milan Kundera,1997.0,57.0
3596270952,9.0,1,Tod eines Handlungsreisenden.,Arthur Miller,1986.0,9.0
3596271088,8.0,1,Hexenjagd. Ein Drama in 2 Akten.,Arthur Miller,1984.0,8.0
3596282225,7.75,4,Die Nebel von Avalon. Roman.,Marion Zimmer Bradley,2000.0,31.0
359629259X,8.0,1,Die Terroristin,Doris Lessing,1998.0,8.0
3596292646,6.333333333333333,3,Das Buch der lÃ?Â¤cherlichen Liebe.,Milan Kundera,2000.0,19.0
3596294312,1.0,1,Buddenbrooks. Verfall einer Familie. Roman.,Thomas Mann,1989.0,1.0
359650533X,1.0,1,Der Plan. JubilÃ?Â¤ums- Edition.,Gerhard Roth,2002.0,1.0
3608917586,10.0,1,Die FARGonauten. Ã?Â?ber Analogie und KreativitÃ?Â¤t.,Douglas R. Hofstadter,1996.0,10.0
3608934537,9.0,2,Der rote Rock.,Emmanuele Bernheim,1999.0,18.0
3612276204,6.5,2,Der Putzteufel geht um.,Dorothy Cannell,1999.0,13.0
3629002013,4.5,2,Ein gutes Jahr.,Albert Bichler,2000.0,9.0
362900637X,8.0,1,Scientology: Ich klage an!,Renate Hartwig,1994.0,8.0
3630611087,6.0,1,Das Siebte Kreuz,Seghers,0.0,6.0
3701712417,6.0,1,Mein Studium ferner Welten: Ein Roman in 14 Geschichten,Alex Capus,2001.0,6.0
3716022799,7.0,1,Schattenkinder.,Margaret Forster,2001.0,7.0
3718501473,4.0,1,Die USA im RÃ¼ckspiegel: Aufzeichnungen eines Schweizer Amerika-Reisenden,Jacques Wirz,1995.0,4.0
3746611229,3.0,1,Der fremde Freund. (Drachenblut).,Christoph Hein,1982.0,3.0
3746612160,7.666666666666667,3,Der wilde Tanz der SeidenrÃ?Â¶cke.,Robert Merle,1999.0,23.0
3746614007,8.285714285714286,7,Die PÃ?Â¤pstin.,Donna Woolfolk Cross,1998.0,58.00000000000001
3746615429,5.0,1,Die Truhen des Arcimboldo. Nach den TagebÃ?Â¼chern des Heinrich Wilhelm Lehmann.,Hanjo Lehmann,1999.0,5.0
3746616360,9.0,2,Das Puppenkind.,Eva Maaser,2000.0,18.0
3746618363,6.0,3,Solange du da bist.,Marc Levy,2002.0,18.0
3746618959,5.0,1,Sommer Ende Zwanzig.,Claudio Paglieri,2003.0,5.0
3746655153,9.0,1,Und so ist alles schwankend: TagebÃ¼cher Juni bis Dezember 1945,Victor Klemperer,1996.0,9.0
3746670144,7.0,1,"Ich, Prinzessin Viola: Ein altes Haus und seine Besetzer",Claudia von Zglinicki,1995.0,7.0
3761400853,10.0,1,SilvestergesprÃ?Â¤che eines Sechsecks.,Dionys Burger,2001.0,10.0
3770149599,5.5,2,Ein hinreissender SchrotthÃ¤ndler: Roman (Roman Dumont),Arnold Stadler,1999.0,11.0
3770156218,5.0,1,Der Fall Arbogast.,Thomas Hettche,2001.0,5.0
3775713328,8.0,2,Ernst Luwig Kirchner: Mountain Life: The Early Years in Davos 1917-1926,Ernst Ludwig Kirchner,2003.0,16.0
3784427855,3.0,1,Die Internet- Generation. Wie wir von unseren Computern gefressen werden.,Thomas Feibel,2001.0,3.0
3785538448,4.0,1,Fear Street. Teufelskreis. Es gibt kein Entkommen... ( Ab 12 J.).,R. L. Stine,2001.0,4.0
3789129453,7.0,1,"Die Kinder aus BullerbÃ?Â¼, Gesamtausgabe. Wir Kinder aus BullerbÃ?Â¼, Mehr von uns Kindern aus BullerbÃ?Â¼, Immer Lustig in BullerbÃ?Â¼",Astrid Lindgren,1988.0,7.0
3789131202,8.0,1,Der Prinz und der Bottelknabe. Oder ErzÃ?Â¤hl mir vom Dow Jones. ( Ab 12 J.).,Kirsten Boie,1997.0,8.0
3791535560,7.0,1,Heimatlos. ( Ab 12 J.).,Hector Malot,1996.0,7.0
3792000261,9.0,2,Der Kleine Prinz Prince German Hardy Boys,Antoine de Saint-ExupÃ©ry,0.0,18.0
3794147286,1.0,1,Das mag Elsa Entchen gern.,Jane Simmons,2000.0,1.0
3795115833,5.0,1,"Coelln: Stadt, Dom, Fluss.",Thomas R. P. Mielke,2000.0,5.0
3795116074,8.0,2,WÃ?Â¼stenblume.,Waris Dirie,1998.0,16.0
379511733X,8.0,1,Flut.,Wolfgang Hohlbein,2001.0,8.0
3800015064,6.0,1,Das rotweissrote Weltkugelbuch,Wolfgang SchÃ¼ssel,1998.0,6.0
380062236X,10.0,1,Die externe Rechnungslegung der Kreditinstitute und Finanzdienstleistungsinstitute (Vahlens HandbÃ¼cher der Wirtschafts- und Sozialwissenschaften),Hartmut Bieg,1999.0,10.0
3809413747,7.0,1,Generation Mama. ... und die Welt steht Kopf.,Birgit SchÃ?Â¶nberger,2003.0,7.0
3810505153,5.0,3,"Gute MÃ?Â¤dchen kommen in den Himmel, bÃ?Â¶se Ã?Â¼berall hin. Warum Bravsein uns nicht weiterbringt.",Ute Ehrhardt,1994.0,15.0
3811820966,4.0,1,"Kosmos-Chroniken, Bd.1, Reginald Bull",Hubert Haensel,2000.0,4.0
3817132336,10.0,1,Philosophischer Versuch Ã?Â¼ber die Wahrscheinlichkeit.,Pierre S. de Laplace,1996.0,10.0
3817132352,10.0,1,Die Elemente. Buch I - XIII.,Euklid,2003.0,10.0
3817134010,10.0,1,Die Hilbertschen Probleme.,David Hilbert,1998.0,10.0
3821806354,5.0,1,Der weisse Chauffeur: Roman (Gatza bei Eichborn),Urs Richle,1996.0,5.0
3821807059,9.0,2,Herr Lehmann. Ein Roman.,Sven Regener,2001.0,18.0
382183594X,10.0,1,Darum nerven Japaner. Der ungeschminkte Wahnsinn des japanischen Alltags.,Christoph Neumann,2002.0,10.0
3821839171,10.0,1,Doktorspiele. GestÃ?Â¤ndnisse eines Hochstaplers.,Gert Postel,2001.0,10.0
3822802395,8.0,1,Egon Schiele,Reinhard Steiner,1992.0,8.0
3822855499,10.0,1,Atget's Paris (TASCHEN Icons Series),Andreas Krase,2001.0,10.0
3852183219,10.0,1,Blumen fÃ¼r Polt: Kriminalroman,Alfred Komarek,2000.0,10.0
3870245123,2.5,2,Generation Golf: Eine Inspektion,Florian Illies,2000.0,5.0
3873290812,7.0,1,Kuttel Daddeldu,Joachim Ringelnatz,1974.0,7.0
3880220131,7.0,1,Im Schatten des Friedens: Ein Bericht aus Vietnam und Kamputschea,Michael Sontheimer,1989.0,7.0
3880598800,10.0,1,Sprachen,Frederick Bodmer,1995.0,10.0
3886800849,6.0,1,Die deutsche Geschichte geht weiter,Richard WeizsÃ¤cker,1983.0,6.0
477001970X,9.0,1,Illuminated Spirit: Conversations With a Kyudo Master,Dan Deprospero,1997.0,9.0
5553465214,7.0,1,Cruel Doubt,Joe McGinniss,0.0,7.0
5553531144,7.0,1,Human Dignity and Freedom-25.95,Universe Publishing Co,0.0,7.0
8085128829,6.5,2,Moji milÃ­ SlovÃ¡ci: Listy rodÃ¡kom o nebezpecenstvÃ¡ch ktorÃ© im hrozia,JÃºlius SatinskÃ½,1991.0,13.0
8090128920,9.0,1,Horecka (Ceska knihovna),VÃ¡clav Hrabe,1993.0,9.0
8171670407,8.0,1,Inscrutable Americans,Mathur Anurag,1996.0,8.0
8173711461,8.0,1,Wings of Fire: An Autobiography of APJ Abdul Kalam,A. P. J Abdul Kalam,1999.0,8.0
8175252723,5.0,1,Indian Fengshui (Vaastu) for American Homes,"A. R., Dr Hari",2002.0,5.0
8251800811,8.0,4,A Time for Trolls: Fairy Tales from Norway,Peter C. Asbjornsen,1992.0,32.0
8308033555,8.0,1,Ono,Dorota Terakowska,2003.0,8.0
8401013151,3.0,1,La apuesta de Casanova,Orazio Bagnasco,2000.0,3.0
8401242274,8.0,1,La mala hora,Gabriel GarcÃ­a MÃ¡rquez,1999.0,8.0
8401321786,8.0,1,Contacto/Contact,Carl Sagan,1986.0,8.0
8401323924,7.0,1,Parque JurÃ¡sico,Michael Crichton,2000.0,7.0
8401328942,8.5,4,El Ultimo Caton,Matilde Asensi,2001.0,34.0
8401341744,9.0,1,Mi Pais Inventado,Isabel Allende,2003.0,9.0
8401372178,6.0,1,"LA Piramide De Peter, O Lo Acabaremos Entendiendo?/the Peter Pyramid, or Will We Ever Get the Point",Laurence J. Peter,1986.0,6.0
8401375703,8.0,1,Al paso alegre de la paz,Luis Otero,1996.0,8.0
8401376513,5.0,1,Garzon: El Hombre Que Vela Amanecer/the Man That Sees Dawn,Pilar Urbano,2001.0,5.0
840138110X,9.5,2,Eva Luna (Plaza &amp; JanÃ©s/literaria),Isabel Allende,1987.0,19.0
8401381630,9.0,1,Cuentos de Eva Luna (Plaza &amp; JanÃ©s/literaria),Isabel Allende,1990.0,9.0
8401422248,9.0,1,La Casa de los Espiritus,Isabel Allende,1989.0,9.0
8401422825,9.0,1,Fahrenheit 451,Ray Bradbury,1993.0,9.0
8401423465,7.0,1,El Cartero De Neruda,Antonio Skarmeta,1996.0,7.0
8401427177,8.0,2,"Vieja Sirena, La",Jose Luis Sampedro,1998.0,16.0
8401427568,8.666666666666666,3,El coronel no tiene quien le escriba,Gabriel Garcia Marquez,1999.0,26.0
8401461170,8.0,3,El diario de Bridget Jones,Helen Fielding,2000.0,24.0
8401462924,9.0,2,Sentido y sensibilidad,Jane Austen,1997.0,18.0
8401463017,5.666666666666667,3,El Hombre Que Susurraba Al Oido De Los Caballos,Nicholas Evans,1997.0,17.0
8401463297,5.0,1,El paciente InglÃ©s,Michael Ondaatje,1997.0,5.0
8401466350,7.0,1,Cinco dÃ­as en ParÃ­s,Danielle Steel,1996.0,7.0
8401476798,5.0,1,Silencio En Hanover Close,Anne Perry,1999.0,5.0
8401490014,5.0,1,Arlequin,Morris West,1981.0,5.0
8401490693,6.0,3,Arena y viento (Los Jet de Plaza &amp; JanÃ©s),Alberto VÃ¡zquez-Figueroa,1992.0,18.0
8401490979,7.0,1,Juego Mortal: Juego Mortal,Collins,0.0,7.0
8401491029,6.666666666666667,6,Misery,Stephen King,1999.0,40.0
8401491363,7.0,2,FundaciÃ³n,Isaac Asimov,1984.0,14.0
8401491827,6.0,1,JardÃ­n sombrÃ­o,V. C. Andrews,1999.0,6.0
8401491843,5.0,1,Mientras Mi Preciosa Duerme : While My Pretty One Sleeps (Spanish),Mary Higgins Clark,1990.0,5.0
8401492343,7.0,1,Congo (Spanish Edition),Michael Crichton,1994.0,7.0
8401493102,7.0,1,Perseguida por toda la ciudad,Clark,1998.0,7.0
8401493129,5.0,1,Misterio En La Clinica: Misterio En La Clinica,Mary Higgins Clark,1995.0,5.0
8401493196,7.0,1,Testigo En La Sombra,Mary Higgins Clark,1999.0,7.0
8401495237,10.0,1,La Caza Del Octubre Rojo,Clancy,1989.0,10.0
8401496071,6.0,1,Navajazos,A Martin,0.0,6.0
8401496608,8.0,1,"Propios Dioses, Los",Isaac Asimov,1999.0,8.0
8401496616,8.0,1,Los Robots Del Amanecer,Isaac Asimov,1991.0,8.0
8401496772,7.0,1,"Robot Humano, El (Promo)",Isaac Asimov,1994.0,7.0
8401497833,8.0,1,El Emperador,Frederick Forsyth,1982.0,8.0
8401499046,8.0,1,Manaos= the Manaos,Alberto Vazquez-Figueroa,1988.0,8.0
8401499127,8.0,1,Tuareg/Tuareg (Spanish ed.),Alberto Vazquez-Figueroa,1989.0,8.0
8401499259,5.0,1,Trece en Zurich,Robert Ludlum,1998.0,5.0
840149950X,5.0,1,Los Pilares de la Tierra,Ken Follett,1999.0,5.0
8401506557,7.0,1,La profecia misteriosa,Rebbeca Brandewyne,1999.0,7.0
8401541034,10.0,1,La fuente del unicornio,Theodore Sturgeon,1999.0,10.0
8401570557,5.0,1,Mala Indole,Javier Marias,1998.0,5.0
8402062148,8.0,1,El libro de los seres imaginarios (Narradores de hoy),Jorge Luis Borges,1979.0,8.0
8403093004,8.5,2,Memorias de Un Homo Erectus,Miguel Angel Rodriguez,2002.0,17.0
8403599269,8.5,2,Vagabundo en Africa,Javier MartÃ­nez Reverte,1998.0,17.0
840801207X,9.0,1,Azteca,Gary Jennings,1995.0,9.0
8408020080,8.0,1,Elisabeth Emperatriz De Austria/Hungria,Angeles Caso,1998.0,8.0
8408020137,6.0,1,Mujercismas,Terenci Moix,1998.0,6.0
8408020471,8.0,2,Los Santos Inocentes,Miguel Delibes,1997.0,16.0
8408022539,7.0,1,El Eterno Amante,Jean Plaidy,1998.0,7.0
8408022741,7.0,1,Los Astronautas De Yave,Juan Jose Benitez,1998.0,7.0
8408022792,8.0,1,El Testamento De San Juan,Juan Jose Benitez,1998.0,8.0
8408025945,10.0,1,Parada obligatÃ²ria (Ramon Llull),Joan Barril,1998.0,10.0
8408028472,5.5,2,Pequenas Infamias: Premio Planeta 1998 (Autores Espanoles E Iberoamericanos),Carmen Posadas,1999.0,11.0
8408034634,6.0,1,La mujer sabia,Christian Jacq,2000.0,6.0
8408036424,5.5,2,Mientras Vivimos,Maruja Torres,2000.0,11.0
8408037404,9.0,1,El Arpista Ciego: Una Fantasia del Reinado de Tutankamon,Terenci Moix,2002.0,9.0
8408038745,4.0,1,Estupida Como La Luna (Autores Espa~noles E Iberoamericanos),Almudena De Arteaga Del Alcazar,2001.0,4.0
8408042467,6.0,2,Mi Corazon Que Baila Con Espigas,Carmen Rigalt,2003.0,12.0
8408043641,7.6,10,La Sombra Del Viento/The Shadow Of The Wind,Carlos Ruiz Zafon,2003.0,76.0
8408043781,8.0,1,Lo Que Esta En Mi Corazon,Marcela Serrano,2003.0,8.0
8408045504,8.0,1,LA Bella Otero,Carmen Posadas,2002.0,8.0
8408047442,7.0,1,El Dueno De LA Herida,Antonio Gala,2003.0,7.0
8408047957,8.5,2,Lobas De Mar,Zoe Valdes,2003.0,17.0
8408048082,8.0,1,A Orillas Del Rio Piedra Me Sente Y Llore,Paulo Coelho,2003.0,8.0
8408050133,7.0,3,Milenium,Manuel Montalban Vazquez,2004.0,21.0
8420427845,8.0,2,LA Tabla De Flandes (Alfaguara Extra),Arturo Perez-Reverte,1999.0,16.0
8420430811,5.0,1,Memorias de Una Geisha,Arthur S. Golden,1999.0,5.0
8420441708,6.428571428571429,7,La Carta Esferica / The Nautical Chart (Spanish edition),Arturo Perez-Reverte,2001.0,45.0
8420442089,7.0,1,"Agonia del Dragon, La",Juan Luis Cebrian,2000.0,7.0
8420442127,7.0,1,La novia de Matisse,Manuel Vicent,2001.0,7.0
8420442283,8.333333333333334,3,La Caverna,Jose Saramago,2001.0,25.0
8420442402,7.0,3,El oro del rey,Arturo Perez-Reverte,2000.0,21.0
8420443026,8.0,1,La educaciÃ³n de un hada,Didier Van Cauwelaert,2001.0,8.0
8420444782,4.0,1,Un Milagro Informal,Fernando Iwasaki Cauti,2003.0,4.0
8420448133,8.0,1,Las Vacaciones Del Pequeno Nicolas (Osito/Little Bear),Sempe,1997.0,8.0
8420448583,6.0,1,La Ley De La Calle,Susan E. Hinton,2002.0,6.0
842046435X,7.0,4,La reina del Sur,Arturo Perez-Reverte,2002.0,28.0
8420482013,6.4,5,La piel del tambor,Arturo Perez-Reverte,1998.0,32.0
8420482684,8.0,2,Plenilunio,Antonio Munoz Molina,1999.0,16.0
8420483125,7.333333333333333,3,El Sol de Breda,Arturo Perez-Reverte,1999.0,22.0
8420483532,8.25,8,El Capitan Alatriste,Arturo y Carlota Perez-Reverte,1997.0,66.0
8420483591,7.5,4,Limpieza de sangre,Arturo Perez-Reverte,1998.0,30.0
8420483834,9.0,1,Negra espalda del tiempo,Javier Marias,1998.0,9.0
8420483885,8.0,2,El club Dumas (ediciÃ³n en espaÃ±ol),Arturo Perez-Reverte,1999.0,16.0
842060156X,4.0,1,El Agente Confidencial/the Confidential Agent,Graham Greene,1986.0,4.0
8420604666,8.0,1,Cuentos de Los Viudos Negros,Isaac Asimov,1993.0,8.0
8420604690,8.0,1,Mas Cuentos de Los Viudos Negras,Isaac Asimov,1993.0,8.0
8420612766,5.0,2,Alicia En El Pais de Las Maravillas,Lewis Carroll,1997.0,10.0
8420613487,6.0,2,"El Principito (Fiction, Poetry and Drama)",Antoine de Saint-Exupery,0.0,12.0
8420613533,5.0,4,Historia Universal De LA Infamia/a Universal History of Infamy,Jorge Luis Borges,1983.0,20.0
842061615X,7.0,1,"Relatos 1, Los - Ritos",Julio Cortazar,1999.0,7.0
8420616168,9.0,1,LA Comunicacion No Verbal,Flora Davis,1984.0,9.0
8420616249,6.0,1,"Relatos 2, Los - Juegos",Julio Cortazar,1995.0,6.0
8420616893,8.4,5,El Guardian Entre El Centeno,J. D. Salinger,1999.0,42.0
8420617067,5.0,1,El Dr. Jekyll y Mr. Hyde,"Robert Louis, III Stevenson",1993.0,5.0
8420628409,5.0,1,La Fisica de La Inmortalidad,Frank Tipler,1997.0,5.0
8420633127,8.5,2,Ficciones,Jorge Luis Borges,1997.0,17.0
8420633135,7.0,2,El Libro de Arena,Jorge Luis Borges,1997.0,14.0
8420633496,9.0,1,Los cuatro jinetes del Apocalipsis,Vicente Blasco Ibanez,1998.0,9.0
8420634018,10.0,1,El Ã¡rbol de la ciencia,Pio Baroja,1967.0,10.0
8420634093,5.0,1,El guardiÃ¡n entre el centeno,J. D. Salinger,1978.0,5.0
8420634115,9.0,1,El seÃ±or de las moscas,William Golding,1972.0,9.0
8420634573,10.0,1,"Maestro y Margarita, El",Mijail Bulgakov,2000.0,10.0
8420634778,5.0,1,Leon Africano,Amin Maalouf,2000.0,5.0
